name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing Xo Erlx Euro Iii,Hyundai,2007,"80,000","45,000 Kms",Petrol
Mahindra Jeep Cl550 Mdi,Mahindra,2006,"4,25,000",40 Kms,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2018,Ask For Price,"22,000 Kms",Petrol
Hyundai Grand I10 Magna 1.2 Kappa Vtvt,Hyundai,2014,"3,25,000","28,000 Kms",Petrol
Ford Ecosport Titanium 1.5L Tdci,Ford,2014,"5,75,000","36,000 Kms",Diesel
Ford Ecosport Titanium 1.5L Tdci,Ford,2015,Ask For Price,"59,000 Kms",Diesel
Ford Figo,Ford,2012,"1,75,000","41,000 Kms",Diesel
Hyundai Eon,Hyundai,2013,"1,90,000","25,000 Kms",Petrol
Ford Ecosport Ambiente 1.5L Tdci,Ford,2016,"8,30,000","24,530 Kms",Diesel
Maruti Suzuki Alto K10 Vxi Amt,Maruti,2015,"2,50,000","60,000 Kms",Petrol
Skoda Fabia Classic 1.2 Mpi,Skoda,2010,"1,82,000","60,000 Kms",Petrol
Maruti Suzuki Stingray Vxi,Maruti,2015,"3,15,000","30,000 Kms",Petrol
Hyundai Elite I20 Magna 1.2,Hyundai,2014,"4,15,000","32,000 Kms",Petrol
Mahindra Scorpio Sle Bs Iv,Mahindra,2015,"3,20,000","48,660 Kms",Diesel
Audi A8,Audi,2017,"10,00,000","4,000 Kms",Petrol
Audi Q7,Audi,2014,"5,00,000","16,934 Kms",Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 Kms",Diesel
Maruti Suzuki Alto 800,Maruti,2014,"1,60,000","35,550 Kms",Petrol
Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 Kms",Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"75,000","39,000 Kms",Petrol
Hyundai I20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 Kms",Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,"1,90,000","72,000 Kms",Petrol
Maruti Suzuki Vitara Brezza Zdi,Maruti,2016,"2,90,000","15,975 Kms",Diesel
Maruti Suzuki Alto Lx,Maruti,2008,"95,000","70,000 Kms",Petrol
Mahindra Bolero Di,Mahindra,2017,"1,80,000","23,452 Kms",Diesel
Maruti Suzuki Swift Dzire Zdi,Maruti,2014,"3,85,000","35,522 Kms",Diesel
Mahindra Scorpio S10 4Wd,Mahindra,2015,"2,50,000","48,508 Kms",Diesel
Maruti Suzuki Swift Vdi Bsiii,Maruti,2017,"1,80,000","15,487 Kms",Petrol
Maruti Suzuki Wagon R Vxi Bs Iii,Maruti,2013,"1,05,000","39,000 Kms",Petrol
Maruti Suzuki Wagon R Vxi Minor,Maruti,2013,"1,05,000","39,000 Kms",Petrol
Toyota Innova 2.0 G 8 Str Bs Iv,Toyota,2012,"6,50,000","82,000 Kms",Diesel
Renault Lodgy 85 Ps Rxl,Renault,2018,"6,89,999","20,000 Kms",Diesel
Skoda Yeti Ambition 2.0 Tdi Cr 4X2,Skoda,2012,"4,48,000","68,000 Kms",Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"5,49,000","32,000 Kms",Diesel
Renault Duster 110 Ps Rxz Diesel Plus,Renault,2012,"5,01,000","38,000 Kms",Diesel
Renault Duster 85 Ps Rxe Diesel,Renault,2013,"4,89,999","27,000 Kms",Diesel
Honda City 1.5 S Mt,Honda,2011,"2,80,000","33,000 Kms",Petrol
Maruti Suzuki Dzire,Maruti,2013,"3,49,999","46,000 Kms",Diesel
Honda Amaze,Honda,2013,"2,84,999","46,000 Kms",Diesel
Honda Amaze 1.5 Sx I Dtec,Honda,2015,"3,45,000","36,000 Kms",Diesel
Honda City,Honda,2015,"4,99,999","55,000 Kms",Petrol
Datsun Redi Go S,Datsun,2017,"2,35,000","16,000 Kms",Petrol
Maruti Suzuki Sx4 Zxi Mt,Maruti,2010,"2,49,999","36,000 Kms",Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000","47,000 Kms",Diesel
Mahindra Scorpio S10,Mahindra,2015,"3,95,000","35,000 Kms",Diesel
Maruti Suzuki Swift Vxi 1.2 Abs Bs Iv,Maruti,2017,"2,20,000","30,874 Kms",Petrol
Honda City Zx Cvt,Honda,2017,"1,70,000","15,000 Kms",Diesel
Maruti Suzuki Wagon R Lx Bs Iv,Maruti,2013,"85,000","29,685 Kms",Petrol
Tata Indigo Ecs Ls Cr4 Bs Iv,Tata,2017,"2,00,000","1,30,000 Kms",Diesel
Mahindra Scorpio Sle Bs Iv,Mahindra,2012,"5,70,000","19,000 Kms",Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"3,15,000","60,000 Kms",Petrol
I Want To Sell My Car Tata Zest,I,2017,Ask For Price,"45,000 Kms",Petrol
Chevrolet Spark Ls 1.0,Chevrolet,2010,"1,10,000","41,000 Kms",Petrol
Renault Duster 110Ps Diesel Rxz,Renault,2012,"5,01,000","35,000 Kms",Diesel
Honda City,Honda,2015,"4,48,999","54,000 Kms",Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 Kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 Kms",Diesel
Honda Amaze,Honda,2015,"3,44,999","22,000 Kms",Petrol
Renault Duster,Renault,2014,"4,49,999","50,000 Kms",Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,500 Kms",Petrol
Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 Kms",Diesel
Mahindra Scorpio Vlx 2Wd Bs Iv,Mahindra,2014,"6,99,000","50,000 Kms",Diesel
Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 Kms",Diesel
Ford Ecosport,Ford,2017,"4,89,999","39,000 Kms",Petrol
Honda Brio,Honda,2012,"2,24,999","30,000 Kms",Petrol
Volkswagen Vento Highline Plus 1.5 Diesel At,Volkswagen,2019,"12,00,000","3,600 Kms",Diesel
Hyundai I20 Magna,Hyundai,2009,"1,95,000","32,000 Kms",Petrol
Toyota Corolla Altis Diesel D4Dg,Toyota,2010,"3,51,000","38,000 Kms",Diesel
Hyundai Verna Transform Sx Vtvt,Hyundai,2008,"1,60,000","45,000 Kms",Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009,"2,40,000","35,000 Kms",Petrol
Honda City 1.5 Exi New,Honda,2005,"90,000","50,000 Kms",Petrol
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"1,55,000","45,863 Kms",Diesel
Bmw 3 Series 320I,Bmw,2011,"6,00,000","60,500 Kms",Petrol
Maruti Suzuki A Star Lxi,Maruti,2011,"1,89,500","12,500 Kms",Petrol
Toyota Etios Gd,Toyota,2013,"3,50,000","60,000 Kms",Diesel
Ford Figo Diesel Exi Option,Ford,2012,"2,10,000","35,000 Kms",Diesel
Maruti Suzuki Swift Dzire Vxi 1.2 Bs Iv,Maruti,2014,"3,90,000","35,000 Kms",Petrol
Chevrolet Beat Lt Diesel,Chevrolet,2012,"1,35,000","45,000 Kms",Diesel
Bmw 7 Series 740Li Sedan,Bmw,2009,"16,00,000","35,000 Kms",Petrol
Mahindra Xuv500 W8 Awd 2013,Mahindra,2013,"7,01,000","38,000 Kms",Diesel
Hyundai I10 Magna 1.2,Hyundai,2014,"2,65,000","18,000 Kms",Petrol
Hyundai Verna Fluidic New,Hyundai,2015,"5,25,000","35,000 Kms",Diesel
Maruti Suzuki Swift Vxi 1.2 Bs Iv,Maruti,2013,"3,72,000","13,349 Kms",Petrol
Maruti Suzuki Ertiga Zxi Plus,Maruti,2016,"6,35,000","29,000 Kms",Petrol
Ford Ecosport Titanium 1.5L Tdci,Ford,2014,"5,50,000","44,000 Kms",Diesel
Maruti Suzuki Ertiga Vxi,Maruti,2016,"5,75,000","29,000 Kms",Petrol
Maruti Suzuki Ertiga Vdi,Maruti,2013,"4,85,000","42,000 Kms",Diesel
Maruti Suzuki Alto Lxi Bs Iii,Maruti,2012,"1,55,000","14,000 Kms",Petrol
Hyundai Grand I10 Asta 1.1 Crdi,Hyundai,2014,"3,45,000","49,000 Kms",Diesel
Honda Amaze 1.2 S I Vtec,Honda,2014,"3,25,000","42,000 Kms",Petrol
Hyundai I20 Asta 1.4 Crdi 6 Speed,Hyundai,2012,"3,29,500","36,200 Kms",Diesel
Ford Figo Diesel Exi,Ford,2014,"1,95,000","50,000 Kms",Diesel
Maruti Suzuki Eeco 5 Str With Ac Htr,Maruti,2015,"2,51,111","55,000 Kms",Petrol
Maruti Suzuki Ertiga Zxi,Maruti,2014,"5,69,999","45,000 Kms",Petrol
Maruti Suzuki Esteem Lxi Bs Iii,Maruti,2007,"69,999","51,000 Kms",Petrol
Maruti Suzuki Ritz Vxi,Maruti,2014,"2,99,999","19,000 Kms",Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 Kms",Petrol
Maruti Suzuki Ritz Ldi,Maruti,2013,"3,99,999","33,000 Kms",Diesel
Maruti Suzuki Dzire Vdi,Maruti,2015,"4,50,000","1,04,000 Kms",Diesel
Toyota Etios Liva G,Toyota,2014,"2,70,000","55,000 Kms",Petrol
Hyundai I20 Sportz 1.4 Crdi,Hyundai,2011,"3,50,000","33,333 Kms",Diesel
Chevrolet Spark,Chevrolet,2012,"1,58,400","33,600 Kms",Petrol
Maruti Suzuki Alto K10 Vxi Amt,Maruti,2017,"3,50,000","5,600 Kms",Petrol
Nissan Micra Xv,Nissan,2011,"1,79,000","41,000 Kms",Petrol
Maruti Suzuki Swift,Maruti,2007,"1,25,000","70,000 Kms",Petrol
Maruti Suzuki Alto 800,Maruti,2018,"2,00,000","7,500 Kms",Petrol
Honda Amaze 1.5 S I Dtec,Honda,2013,"2,99,000","45,000 Kms",Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,20,000","38,000 Kms",Petrol
Chevrolet Beat,Chevrolet,2015,"1,50,000","30,000 Kms",Petrol
Toyota Corolla,Toyota,2009,"2,75,000","26,000 Kms",Petrol
Honda City 1.5 V Mt,Honda,2010,"2,85,000","35,000 Kms",Petrol
Ford Ecosport Trend 1.5L Tdci,Ford,2016,"8,30,000","24,330 Kms",Diesel
Hyundai I20 Asta 1.2,Hyundai,2009,"2,10,000","65,480 Kms",Petrol
Maruti Suzuki Swift Dzire Vxi 1.2 Bs Iv,Maruti,2013,"3,40,000","41,000 Kms",Petrol
Tata Indica V2 Els,Tata,2006,"90,000","20,000 Kms",Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2018,Ask For Price,"28,028 Kms",Petrol
Hindustan Motors Ambassador,Hindustan,2000,"70,000","2,00,000 Kms",Diesel
Toyota Corolla Altis 1.8 Gl,Toyota,2010,"2,89,999","70,000 Kms",Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012,"3,49,999","59,000 Kms",Petrol
Toyota Innova 2.5 Gx Bs Iv 7 Str,Toyota,2012,"8,49,999","99,000 Kms",Diesel
Volkswagen Jetta Highline Tdi At,Volkswagen,2014,"7,49,999","46,000 Kms",Diesel
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,"3,99,999","2,800 Kms",Petrol
Volkswagen Polo,Volkswagen,2014,"2,74,999","32,000 Kms",Petrol
Mahindra Scorpio,Mahindra,2015,"9,84,999","22,000 Kms",Diesel
Nissan Sunny,Nissan,2012,"2,24,999","45,000 Kms",Petrol
Hyundai Elite I20,Hyundai,2018,"5,99,999","21,000 Kms",Petrol
Renault Kwid,Renault,2016,"2,44,999","11,000 Kms",Petrol
Renault Duster,Renault,2013,"3,99,999","41,000 Kms",Diesel
Renault Duster,Renault,2014,"4,74,999","50,000 Kms",Diesel
Mahindra Scorpio Vlx Airbag,Mahindra,2011,"4,99,999","66,000 Kms",Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2018,"3,10,000","3,000 Kms",Petrol
Chevrolet Spark Lt 1.0,Chevrolet,2010,"85,000","45,000 Kms",Petrol
Datsun Redi Go T O,Datsun,2016,"2,45,000","7,000 Kms",Petrol
Maruti Suzuki Swift Rs Vdi,Maruti,2010,"1,89,500","38,500 Kms",Diesel
Fiat Punto Emotion 1.2,Fiat,2012,"1,69,500","37,200 Kms",Diesel
Maruti Suzuki Swift Rs Vdi,Maruti,2010,"1,59,500","43,200 Kms",Diesel
Toyota Etios Gd,Toyota,2013,"2,75,000","24,800 Kms",Petrol
Hyundai I20 Sportz 1.4 Crdi,Hyundai,2014,"3,70,000","60,000 Kms",Diesel
Hyundai I10 Sportz 1.2,Hyundai,2010,"1,68,000","45,872 Kms",Petrol
Chevrolet Beat Lt Opt Diesel,Chevrolet,2011,"1,50,000","40,000 Kms",Diesel
Chevrolet Beat Ls Diesel,Chevrolet,2011,"1,45,000","45,000 Kms",Diesel
Chevrolet Beat Lt Diesel,Chevrolet,2012,"98,500","38,000 Kms",Diesel
Tata Indigo Cs,Tata,2011,"85,000","11,400 Kms",Diesel
Toyota Corolla Altis 1.8 J,Toyota,2015,"5,75,000","42,000 Kms",Petrol
Honda City 1.5 V Mt,Honda,2014,"5,49,000","39,000 Kms",Petrol
Maruti Suzuki Swift Vdi,Maruti,2011,"2,09,000","47,000 Kms",Diesel
Hyundai Eon Era Plus,Hyundai,2013,"1,85,000","27,000 Kms",Petrol
Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 Kms",Diesel
Mahindra Xuv500,Mahindra,2014,"6,99,999","52,000 Kms",Diesel
Ford Fiesta,Ford,2011,"2,74,999","55,000 Kms",Diesel
Honda City,Honda,2015,"5,99,999","30,000 Kms",Diesel
Maruti Suzuki Wagon R,Maruti,2012,"1,99,999","44,000 Kms",Petrol
Honda City,Honda,2014,"5,44,999","45,000 Kms",Diesel
Hyundai I20,Hyundai,2009,"1,99,000","31,000 Kms",Petrol
Tata Indigo Ecs Lx Tdi Bs Iii,Tata,2016,"3,20,000","1,75,430 Kms",Diesel
Hyundai Fluidic Verna 1.6 Crdi Sx,Hyundai,2015,"5,40,000","38,000 Kms",Diesel
"Commercial , Dzire Ldi, 2016, For Sale",Commercial,...,Ask For Price,"45,000 Kms",Petrol
Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 Kms",Diesel
Fiat Petra Elx 1.2 Ps,Fiat,2008,"75,000","65,000 Kms",Petrol
Hyundai Santro Xing Xs,Hyundai,2005,"49,000","7,500 Kms",Petrol
Maruti Suzuki Ciaz Vxi Plus,Maruti,2016,"7,00,000","3,350 Kms",Petrol
Maruti Suzuki Zen Vx,Maruti,2000,"55,000","60,000 Kms",Petrol
Hyundai Creta 1.6 Sx Plus Petrol,Hyundai,2017,"8,95,000","32,000 Kms",Petrol
"Tata Indigo Ecs Lx, 201",Tata,150K,"1,50,000","45,000 Kms",Petrol
Mahindra Scorpio Slx,Mahindra,2007,"3,55,000","75,000 Kms",Diesel
Mahindra Scorpio Sle Bs Iv,Mahindra,2012,"5,65,000","62,000 Kms",Diesel
Toyota Innova 2.5 G Bs Iii 8 Str,Toyota,2006,"3,65,000","73,000 Kms",Diesel
Maruti Suzuki Alto K10 Vxi Amt,Maruti,2011,"1,45,000","41,000 Kms",Petrol
Maruti Suzuki Wagon R Lxi Bs Iv,Maruti,2011,"2,10,000","35,000 Kms",Petrol
Tata Nano Cx Bsiv,Tata,2013,"40,000","2,200 Kms",Petrol
Maruti Suzuki Alto Std Bs Iv,Maruti,2013,"1,25,000","39,000 Kms",Petrol
Maruti Suzuki Wagon R Lxi Bs Iii,Maruti,2009,"1,35,000","45,000 Kms",Petrol
Maruti Suzuki Swift Vxi Bsiii,Maruti,2006,"1,35,000","45,000 Kms",Petrol
Tata Sumo Victa Ex 10 By 7 Str Bsiii,Tata,2012,"2,85,000","65,000 Kms",Diesel
Maruti Suzuki Desi,Maruti,Tour,"4,00,000","45,000 Kms",Petrol
Maruti Suzuki Wagon R Lxi Bs Iii,Maruti,2010,"1,45,000","54,870 Kms",Petrol
Maruti Suzuki Alto Lxi Bs Iii,Maruti,2010,"1,35,000","34,580 Kms",Petrol
Volkswagen Passat Diesel Comfortline At,Volkswagen,2009,"4,50,000","97,000 Kms",Diesel
Renault Scala Rxl Diesel Travelogue,Renault,2015,"3,75,000","25,000 Kms",Diesel
Hyundai Grand I10 Sportz O 1.2 Kappa Vtvt,Hyundai,2014,"3,65,000","20,000 Kms",Petrol
Hyundai I20 Active 1.2 Sx,Hyundai,2015,"5,00,000","18,000 Kms",Petrol
Mahindra Xylo E4,Mahindra,2012,"4,00,000","35,000 Kms",Diesel
Mahindra Jeep Mm 550 Xdb,Mahindra,2019,"3,90,000",60 Kms,Diesel
Mahindra Bolero Sle Bs Iv,Mahindra,2013,"3,30,000","80,200 Kms",Diesel
Force Motors Force One Lx Abs 7 Str,Force,2015,"5,80,000","3,200 Kms",Diesel
Maruti Suzuki Sx4,Maruti,2012,"2,65,000","46,000 Kms",Diesel
Mahindra Jeep Cl550 Mdi,Mahindra,2019,"3,79,000","0,000 Kms",Diesel
Maruti Suzuki Alto 800,Maruti,2015,"2,19,000","5,000 Kms",Petrol
Mahindra Jeep Cl550 Mdi,Mahindra,2018,"3,85,000",588 Kms,Diesel
Toyota Etios,Toyota,2011,"2,75,000","36,000 Kms",Diesel
Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 Kms",Diesel
Honda City Zx Vtec,Honda,2008,"1,10,000","45,000 Kms",Petrol
Maruti Suzuki Wagon R Lx Bs Iii,Maruti,2006,"80,000","71,200 Kms",Petrol
Honda City Vx O Mt Diesel,Honda,2016,"5,19,000","52,000 Kms",Diesel
Mahindra Thar Crde 4X4 Ac,Mahindra,2016,"7,30,000","29,000 Kms",Diesel
Audi A4 1.8 Tfsi Multitronic Premium Plus,Audi,2009,"6,99,000","47,000 Kms",Petrol
Mercedes Benz Gla Class 200 Cdi Sport,Mercedes,2015,"20,00,000","20,000 Kms",Diesel
Land Rover Freelander 2 Se,Land,2015,"21,00,000","30,000 Kms",Diesel
Renault Kwid Rxt,Renault,2017,"3,40,000","5,000 Kms",Petrol
Tata Aria Pleasure 4X2,Tata,2014,"3,90,000","35,000 Kms",Diesel
Mercedes Benz B Class B180 Sports,Mercedes,2014,"14,00,000","31,000 Kms",Petrol
Datsun Go T O,Datsun,2016,"2,45,000","7,000 Kms",Petrol
Tata Indigo Ecs Lx Tdi Bs Iii,Tata,2016,"3,20,000","1,75,400 Kms",Diesel
Honda Jazz Vx Mt,Honda,2016,"4,50,000","41,000 Kms",Petrol
Honda Amaze 1.2 S I Vtec,Honda,2014,"3,11,000","33,000 Kms",Petrol
Honda City,Honda,2012,"3,99,999","45,000 Kms",Petrol
Honda City,Honda,2015,"5,99,999","39,000 Kms",Diesel
Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 Kms",Diesel
Hyundai I20 Active 1.4L Sx O,Hyundai,2015,"5,35,000","37,000 Kms",Diesel
Mini Cooper S,Mini,2013,"18,91,111","13,000 Kms",Petrol
Maruti Suzuki Ciaz Zxi Plus,Maruti,2017,"6,99,000","14,000 Kms",Petrol
Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 Kms",Diesel
Hyundai Eon Sportz,Hyundai,2012,"1,78,000","30,000 Kms",Petrol
Tata Sumo Gold Select Variant,Tata,2013,"3,00,000","50,000 Kms",Diesel
Maruti Suzuki Wagon R 1.0,Maruti,2003,"90,000","45,000 Kms",Petrol
Maruti Suzuki Esteem Vxi Bs Iii,Maruti,2006,"95,000","45,000 Kms",Petrol
Maruti Suzuki Eeco 5 Str With Ac Htr,Maruti,2015,"2,55,000","9,300 Kms",Petrol
Chevrolet Enjoy 1.4 Ls 8 Str,Chevrolet,2013,"2,45,000","55,000 Kms",Diesel
Maruti Suzuki Wagon R 1.0 Vxi,Maruti,2015,"2,89,999","22,000 Kms",Petrol
Nissan Terrano Xl D Plus,Nissan,2015,"4,99,999","60,000 Kms",Diesel
Renault Duster 85 Ps Rxe Diesel,Renault,2014,"4,89,999","59,000 Kms",Diesel
Renault Duster 85 Ps Rxl Diesel,Renault,2015,"5,49,999","19,000 Kms",Diesel
Maruti Suzuki Dzire Zxi,Maruti,2013,"3,80,000","30,000 Kms",Petrol
Renault Kwid Rxt Opt,Renault,2018,"3,25,000","15,000 Kms",Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003,"57,000","56,758 Kms",Petrol
Renault Kwid 1.0 Rxt Amt,Renault,2018,"3,49,999","10,000 Kms",Petrol
Renault Scala Rxl Diesel,Renault,2014,"3,49,999","49,000 Kms",Diesel
Hyundai Grand I10 Asta 1.2 Kappa Vtvt O,Hyundai,2014,"4,10,000","41,000 Kms",Petrol
Maruti Suzuki Swift Dzire Vxi 1.2 Bs Iv,Maruti,2011,"2,25,000","45,000 Kms",Petrol
Chevrolet Beat Ls Petrol,Chevrolet,2010,"1,20,000","43,000 Kms",Petrol
Hyundai Santro Xing Xo Erlx Euro Iii,Hyundai,2000,"59,000","56,450 Kms",Petrol
Chevrolet Beat Ls Petrol,Chevrolet,2010,"80,000","56,000 Kms",Petrol
Chevrolet Beat Ls Petrol,Chevrolet,2015,"2,20,000","32,700 Kms",Petrol
Ford Ecosport Titanium 1.5L Tdci,Ford,2016,"5,99,000","30,000 Kms",Diesel
Hyundai Accent Glx,Hyundai,2006,"80,000","56,000 Kms",Petrol
Yama,Yamaha,R 15,"55,000","45,000 Kms",Petrol
Maruti Suzuki Swift Ldi,Maruti,2010,Ask For Price,"52,000 Kms",Diesel
Mahindra Tuv300 T4 Plus,Mahindra,2016,"6,75,000","9,000 Kms",Diesel
Tata Indica V2 Xeta E Gle,Tata,2008,"1,50,000","11,000 Kms",Petrol
Tata Indigo Cs Ls Dicor,Tata,2009,"72,500","46,000 Kms",Diesel
Maruti Suzuki Swift Vxi 1.2 Abs Bs Iv,Maruti,2019,"6,10,000",73 Kms,Petrol
Mahindra Scorpio Vlx Special Edition Bs Iii,Mahindra,2004,"2,30,000","1,60,000 Kms",Diesel
Tata Indica Ev2 Ls,Tata,2017,Ask For Price,"84,000 Kms",Diesel
Honda Accord,Honda,2009,"1,75,000","58,559 Kms",Petrol
Ford Ecosport Titanium 1.5 Tdci,Ford,2014,"5,20,000","57,000 Kms",Diesel
Maruti Suzuki Ertiga,Maruti,2015,"5,24,999","50,000 Kms",Diesel
Honda Amaze,Honda,2014,"2,99,999","37,000 Kms",Petrol
Maruti Suzuki Dzire,Maruti,2012,"2,99,999","40,000 Kms",Petrol
Honda City,Honda,2011,"2,84,999","55,000 Kms",Petrol
Mahindra Scorpio 2.6 Crde,Mahindra,2007,"2,20,000","1,70,000 Kms",Diesel
Maruti Suzuki Dzire,Maruti,2014,"4,24,999","55,000 Kms",Diesel
Honda City,Honda,2015,"6,44,999","39,000 Kms",Petrol
Honda Mobilio,Honda,2014,"3,99,999","44,000 Kms",Petrol
Toyota Corolla Altis,Toyota,2009,"1,99,999","65,000 Kms",Petrol
Honda City,Honda,2014,"5,84,999","39,000 Kms",Petrol
Skoda Laura,Skoda,2012,"3,49,999","44,000 Kms",Diesel
Renault Duster,Renault,2015,"4,49,999","49,000 Kms",Diesel
Maruti Suzuki Ertiga,Maruti,2018,"7,99,999","9,000 Kms",Diesel
Maruti Suzuki Dzire,Maruti,2015,"4,44,999","45,000 Kms",Diesel
Mahindra Xuv500,Mahindra,2014,"6,49,999","47,000 Kms",Diesel
Hyundai Verna Fluidic,Hyundai,2012,"4,44,999","40,000 Kms",Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016,"6,89,999","29,000 Kms",Diesel
Maruti Suzuki Wagon R,Maruti,2016,"3,44,999","15,000 Kms",Petrol
Mahindra Scorpio,Mahindra,2015,"9,44,999","45,000 Kms",Diesel
Honda Amaze,Honda,2014,"2,74,999","35,000 Kms",Petrol
Mahindra Xuv500,Mahindra,2013,"6,89,999","80,000 Kms",Diesel
Mahindra Scorpio,Mahindra,2013,"5,74,999","68,000 Kms",Diesel
Skoda Laura,Skoda,2013,"3,74,999","50,000 Kms",Diesel
