name,company,year,Price,kms_driven,fuel_type
Volkswagen Polo,Volkswagen,2010,"1,99,999","60,000 Kms",Diesel
Hyundai Elite I20,Hyundai,2016,"5,49,999","9,000 Kms",Petrol
Tata Manza Aura Quadrajet,Tata,2012,"1,30,000","72,000 Kms",Diesel
Chevrolet Sail Uva Petrol Lt Abs,Chevrolet,2013,"2,10,000","60,000 Kms",Petrol
Hyundai Verna Fluidic 1.6 Vtvt Sx,Hyundai,2013,"4,01,000","45,000 Kms",Diesel
Audi A4 2.0 Tdi 177Bhp Premium,Audi,2012,"13,50,000","40,000 Kms",Diesel
Hyundai Elantra Sx,Hyundai,2013,"6,00,000","20,000 Kms",Petrol
Mahindra Scorpio Vlx 4Wd Airbag,Mahindra,2013,"6,10,000","35,000 Kms",Diesel
Mahindra Kuv100 K8 D 6 Str,Mahindra,2016,"4,00,000","20,000 Kms",Diesel
Hyundai Grand I10,Hyundai,2017,"5,24,999","6,821 Kms",Petrol
Hyundai I20,Hyundai,2014,"4,49,999","23,000 Kms",Petrol
Hyundai Eon,Hyundai,2014,"1,74,999","14,000 Kms",Petrol
Hyundai I10,Hyundai,2012,"2,44,999","38,000 Kms",Petrol
Hyundai I20 Active,Hyundai,2015,"5,74,999","35,000 Kms",Diesel
Datsun Redi Go,Datsun,2017,"2,44,999","22,000 Kms",Petrol
Toyota Etios Liva,Toyota,2011,"2,39,999","41,000 Kms",Petrol
Hyundai Accent,Hyundai,2010,"99,999","45,000 Kms",Petrol
Hyundai Verna,Hyundai,2014,"4,89,999","44,000 Kms",Diesel
Maruti Suzuki Swift,Maruti,2013,"3,24,999","45,000 Kms",Diesel
Toyota Fortuner,Toyota,2011,"10,74,999","52,000 Kms",Diesel
Hyundai I10 Sportz,Hyundai,2012,"2,30,000","34,000 Kms",Petrol
Mahindra Bolero Power Plus Sle,Mahindra,2018,"6,99,000","1,800 Kms",Diesel
Selling Car Ta,Selling,Zest,Ask For Price,"45,000 Kms",Petrol
Mahindra Xuv500,Mahindra,2015,"10,00,000","15,000 Kms",Diesel
Honda City 1.5 V Mt Exclusive,Honda,2010,"2,40,000","4,00,000 Kms",Petrol
Chevrolet Spark Lt 1.0 Airbag,Chevrolet,2009,"1,10,000","44,000 Kms",Petrol
Mahindra Xuv500,Mahindra,2016,"11,30,000","72,000 Kms",Diesel
Tata Indigo Ecs Vx Cr4 Bs Iv,Tata,2014,"2,50,000","40,000 Kms",Diesel
Tata Zest 90,Tata,/-Rs,Ask For Price,"45,000 Kms",Petrol
Skoda Rapid Elegance 1.6 Tdi Cr Mt,Skoda,2013,"3,40,000","48,000 Kms",Diesel
Tata Vista Quadrajet Vx,Tata,2011,"1,20,000","90,000 Kms",Diesel
Maruti Suzuki Alto K10 Vxi At,Maruti,2015,"2,65,000","12,000 Kms",Petrol
Maruti Suzuki Zen Lxi Bs Iii,Maruti,2003,"85,000","69,900 Kms",Petrol
Hyundai I10 Magna 1.2,Hyundai,2011,"1,75,000","45,000 Kms",Petrol
Maruti Suzuki Swift Dzire Tour Ldi,Maruti,2016,"3,50,000","1,66,000 Kms",Diesel
Honda City Zx Exi,Honda,2008,"1,49,000","42,000 Kms",Petrol
Mahindra Jeep Mm 550 Xdb,Mahindra,2006,"4,25,000",122 Kms,Diesel
Chevrolet Beat Diesel,Chevrolet,2017,"1,50,000","62,000 Kms",Diesel
Honda City 1.5 S Mt,Honda,2010,"2,25,000","70,000 Kms",Petrol
Maruti Suzuki Swift Dzire Car,Maruti,Sale,"3,00,000","45,000 Kms",Petrol
Hyundai Verna 1.4 Vtvt,Hyundai,2014,"3,75,000","36,000 Kms",Petrol
Toyota Innova 2.5 E Ms 7 Str Bs Iv,Toyota,2012,"7,70,000",0 Kms,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2018,Ask For Price,"24,000 Kms",Petrol
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,"30,000","55,000 Kms",Petrol
Maruti Suzuki Swift,Maruti,2014,"3,35,000","55,000 Kms",Diesel
Hyundai Elite I20 Asta 1.4 Crdi,Hyundai,2015,"4,50,000","20,000 Kms",Diesel
Maruti Suzuki Swift Dzire Vxi 1.2 Bs Iv,Maruti,2012,"2,25,000","40,000 Kms",Petrol
Maruti Suzuki Swift Dzire Tour (Gat,Maruti,Ara),"3,00,000","45,000 Kms",Petrol
Maruti Suzuki Versa Dx2 8 Seater Bsiii,Maruti,2004,"80,000","50,000 Kms",Petrol
Tata Indigo Lx Tdi Bs Iii,Tata,2016,"1,30,000","1,04,000 Kms",Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000","65,000 Kms",Diesel
Mercedes Benz C Class 200 Cdi Classic,Mercedes,2002,"3,99,000","41,000 Kms",Petrol
Maruti Suzuki Ertiga Vdi,Maruti,2013,"4,50,000","90,000 Kms",Diesel
Urje,Urjent,Sell,"1,80,000","45,000 Kms",Petrol
Honda City,Honda,2000,"65,000","80,000 Kms",Petrol
Hyundai Santro Xing Gls,Hyundai,2006,"75,000","46,000 Kms",Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001,"70,000","70,000 Kms",Petrol
Hyundai Sonata Transform 2.4 Gdi Mt,Hyundai,2017,"1,90,000","36,469 Kms",Diesel
Hyundai Elite I20 Sportz 1.2,Hyundai,2018,"6,00,000","7,800 Kms",Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,40,000","60,000 Kms",Petrol
Maruti Suzuki Alto Lxi Bs Iii,Maruti,2011,"1,55,000","32,000 Kms",Petrol
Honda Jazz S Mt,Honda,2009,"1,69,999","24,695 Kms",Petrol
Hyundai Grand I10 Sportz 1.2 Kappa Vtvt,Hyundai,2017,"4,50,000","15,141 Kms",Petrol
Maruti Suzuki Zen Lxi Bsii,Maruti,2001,"40,000","40,000 Kms",Petrol
Mahindra Scorpio W Turbo 2.6Dx 9 Seater,Mahindra,2012,"1,65,000","65,000 Kms",Diesel
Swift Dzire Tour 27 Dec 2016 Regis,Swift,Tion,"3,70,000","45,000 Kms",Petrol
Maruti Suzuki Alto K10 Vxi,Maruti,2014,"2,70,000","22,000 Kms",Petrol
Hyundai Grand I10 Asta 1.2 Kappa Vtvt,Hyundai,2016,"2,80,000","59,910 Kms",Diesel
Mahindra Xuv500 W8,Mahindra,2012,"5,60,000","1,00,000 Kms",Diesel
Hyundai Creta 1.6 Sx Plus Petrol,Hyundai,2016,"9,50,000","25,000 Kms",Petrol
Hyundai I20 Magna O 1.2,Hyundai,2013,"3,10,000","35,000 Kms",Petrol
Renault Duster 85 Ps Rxl Explore Le,Renault,2015,"7,15,000","65,000 Kms",Diesel
Hyundai Grand I10 Sportz 1.2 Kappa Vtvt,Hyundai,2014,"3,40,000","35,000 Kms",Petrol
Honda Brio V Mt,Honda,2012,"2,35,000","33,000 Kms",Petrol
Mahindra Tuv300 T4 Plus,Mahindra,2017,"6,10,000","68,000 Kms",Diesel
Chevrolet Spark Ls 1.0,Chevrolet,2010,"95,000","23,000 Kms",Petrol
Mahindra Tuv300 T8,Mahindra,2018,"10,00,000","4,500 Kms",Diesel
Maruti Suzuki Swift Dzire Tour Ldi,Maruti,2015,"2,20,000","1,29,000 Kms",Diesel
Nissan X Trail Select Variant,Nissan,2019,"12,00,000",300 Kms,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,30,000","5,000 Kms",Petrol
Ford Ikon 1.3 Clxi Nxt Finesse,Ford,2001,"45,000","65,000 Kms",Petrol
Toyota Fortuner 3.0 4X4 Mt,Toyota,2010,"9,40,000","1,31,000 Kms",Diesel
Tata Manza Elan Quadrajet,Tata,2010,"1,55,555","1,11,111 Kms",Petrol
Tata Zest X,Tata,Odel,"3,20,000","45,000 Kms",Petrol
Mahindra Xyl,Mahindra,2 Bs,"3,50,000","45,000 Kms",Petrol
Mercedes Benz A Class A 180 Sport Petrol,Mercedes,2013,"15,00,000","14,000 Kms",Petrol
Chevrolet Beat Ls Diesel,Chevrolet,2016,"2,10,000","22,000 Kms",Diesel
Ford Ecosport Trend 1.5L Tdci,Ford,2013,"4,95,000","38,000 Kms",Diesel
Tata Indigo Ls,Tata,2016,"1,25,000","70,000 Kms",Diesel
Hyundai I20 Magna 1.2,Hyundai,2010,"1,95,000","36,000 Kms",Petrol
Volkswagen Vento Highline Plus 1.5 Diesel At,Volkswagen,2015,"5,50,000","34,000 Kms",Diesel
Renault Kwid Rxt,Renault,2015,"2,70,000","43,000 Kms",Petrol
Used Commercial Maruti Omn,Used,Arry,"1,50,000","45,000 Kms",Petrol
Ford Ecosport Titanium 1.5L Tdci,Ford,2014,"5,00,000","40,000 Kms",Diesel
Honda Amaze 1.5 E I Dtec,Honda,2016,"2,40,000","1,60,000 Kms",Diesel
Hyundai Verna 1.6 Ex Vtvt,Hyundai,2017,"8,00,000","12,000 Kms",Petrol
Bmw 5 Series 520D Sedan,Bmw,2011,"12,99,000","49,000 Kms",Diesel
Skoda Superb 1.8 Tfsi At,Skoda,2011,"5,30,000","68,000 Kms",Petrol
Audi Q3 2.0 Tdi Quattro Premium,Audi,2013,"14,99,000","37,000 Kms",Diesel
Mahindra Bolero Di Bsii,Mahindra,2012,"2,20,000","59,466 Kms",Diesel
Maruti Suzuki Zen Estilo Lxi Green Cng,Maruti,2011,Ask For Price,"16,000 Kms",Petrol
Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,"2,50,000","99,000 Kms",Diesel
Maruti Suzuki Wagon R Vxi Bs Iv,Maruti,2018,"3,95,000","25,500 Kms",Petrol
Mahindra Logan Diesel 1.5 Dls,Mahindra,2009,"1,30,000","66,000 Kms",Petrol
Tata Nano Genx Xma,Tata,2010,"32,000","44,005 Kms",Petrol
Mahindra Tuv300 T4 Plus,Mahindra,2016,"5,40,000","35,000 Kms",Diesel
Hyundai Elite I20 Magna 1.2,Hyundai,2015,"4,05,000","28,000 Kms",Petrol
Hyundai Elite I20 Magna 1.2,Hyundai,2015,"4,00,000","30,000 Kms",Petrol
Honda City Sv,Honda,2017,"7,60,000","4,000 Kms",Petrol
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,"5,00,000","28,000 Kms",Petrol
Ford Figo Petrol Lxi,Ford,2011,"1,75,000","75,000 Kms",Petrol
Honda City,Honda,2017,"7,50,000","3,000 Kms",Petrol
Hyundai Elite I20 Magna 1.2,Hyundai,2015,"4,19,000","20,000 Kms",Petrol
Maruti Suzuki Versa Dx2 8 Seater Bsiii,Maruti,2004,"90,000","50,000 Kms",Petrol
Hyundai Eon Era Plus,Hyundai,2018,"1,40,000","2,110 Kms",Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"15,40,000","43,222 Kms",Petrol
Hyundai I10 Magna 1.2 Kappa2,Hyundai,2008,"2,75,000","1,00,200 Kms",Petrol
Toyota Corolla H2,Toyota,2003,"1,50,000","1,00,000 Kms",Petrol
Maruti Suzuki Swift Dzire Tour Vxi,Maruti,2011,"2,30,000",65 Kms,Petrol
Tata Indigo Cs Els Bs Iv,Tata,2015,"1,23,000","1,00,000 Kms",Diesel
Hyundai Xcent Base 1.1 Crdi,Hyundai,2016,"3,00,000","1,40,000 Kms",Diesel
Hyundai Accent Executive Edition,Hyundai,2009,"1,65,000","48,000 Kms",Petrol
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,"4,98,000","22,000 Kms",Petrol
Tata Zest Xe 75 Ps Diesel,Tata,2018,"4,80,000","1,03,553 Kms",Diesel
Maruti Suzuki Dzire Ldi,Maruti,2017,"4,88,000","80,000 Kms",Diesel
Tata Sumo Gold Lx Bs Iv,Tata,2014,"2,50,000","99,000 Kms",Diesel
Toyota Corolla Altis Gl Petrol,Toyota,2010,"2,20,000","58,000 Kms",Petrol
Maruti Suzuki Eeco 7 Str,Maruti,2013,"2,90,000","70,000 Kms",Lpg
Toyota Fortuner 3.0 4X2 Mt,Toyota,2015,"15,25,000","1,20,000 Kms",Diesel
Mahindra Xuv500 W6,Mahindra,2013,"5,48,900","49,800 Kms",Diesel
Tata Tigor Revotron Xz,Tata,2019,"6,50,000",100 Kms,Diesel
Maruti Suzuki 800,Maruti,2001,"55,000","81,876 Kms",Petrol
Maruti Suzuki Ertiga Vxi,Maruti,2015,"5,50,000","75,000 Kms",Petrol
Honda Mobilio S I Dtec,Honda,2014,"3,99,000","44,000 Kms",Diesel
Maruti Suzuki Ertiga,Maruti,2016,"7,30,000","55,000 Kms",Diesel
Maruti Suzuki Vitara Brezza,Maruti,2017,"7,25,000","36,000 Kms",Diesel
Hyundai Verna 1.6 Crdi E,Hyundai,2016,"1,95,000","56,000 Kms",Diesel
Maruti Suzuki Swift Vxi Bsiii,Maruti,2007,"1,30,000","62,000 Kms",Petrol
Maruti Suzuki Omni Select Variant,Maruti,2014,"1,90,000","6,020 Kms",Petrol
Honda Amaze,Honda,2013,"2,50,000","55,700 Kms",Diesel
Tata Indica,Tata,2005,"80,000","42,000 Kms",Petrol
Hyundai Santro Xing,Hyundai,2003,"1,20,000","50,000 Kms",Petrol
Maruti Suzuki Zen Estilo,Maruti,2010,"1,49,000","35,000 Kms",Petrol
Maruti Suzuki Wagon R Lxi Bs Iv,Maruti,2014,"2,50,000","18,500 Kms",Petrol
Maruti Suzuki Wagon R,Maruti,2007,"1,20,000","7,000 Kms",Petrol
Honda Brio Vx At,Honda,2017,"4,50,000","11,000 Kms",Petrol
Hyundai Xcent Base 1.1 Crdi,Hyundai,2015,Ask For Price,"1,80,000 Kms",Diesel
Maruti Suzuki Zen Lxi Bsii,Maruti,2003,"99,999","53,000 Kms",Petrol
Maruti Suzuki Zen Estilo Lxi Green Cng,Maruti,2008,"1,35,000","23,000 Kms",Petrol
Maruti Suzuki Wagon R Select Variant,Maruti,2016,"2,25,000","35,500 Kms",Diesel
Maruti Suzuki Alto Lxi Bs Iii,Maruti,2010,"99,000","22,134 Kms",Petrol
Renault Kwid Rxt,Renault,2019,"3,70,000","1,000 Kms",Petrol
Tata Nano Lx Bsiv,Tata,2010,"52,000","9,000 Kms",Petrol
Jaguar Xe Xe Portfolio,Jaguar,2016,"28,00,000","8,500 Kms",Petrol
Hyundai Xcent S 1.2,Hyundai,2015,Ask For Price,"35,000 Kms",Petrol
Hyundai Eon Magna Plus,Hyundai,2014,"1,90,000","35,000 Kms",Petrol
Honda City 1.5 S Mt,Honda,2014,"4,99,000","22,000 Kms",Petrol
Hindustan Motors Ambassador,Hindustan,2002,"90,000","25,000 Kms",Diesel
Maruti Suzuki Ritz Genus Vxi,Maruti,2010,"1,49,000","40,000 Kms",Petrol
Hyundai Grand I10 Magna At 1.2 Kappa Vtvt,Hyundai,2017,"4,00,000","20,000 Kms",Petrol
Hyundai Eon D Lite Plus,Hyundai,2016,"1,20,000","87,000 Kms",Petrol
Maruti Suzuki Swift Dzire Vxi 1.2 Bs Iv,Maruti,2015,"2,50,000","55,000 Kms",Petrol
Maruti Suzuki Wagon R Vxi Bs Iv,Maruti,2017,"3,75,000","23,000 Kms",Petrol
Honda Amaze 1.2 Vx I Vtec,Honda,2014,"3,81,000","6,000 Kms",Petrol
Maruti Suzuki Estilo Vxi Abs Bs Iv,Maruti,2013,"1,80,000","65,000 Kms",Petrol
Maruti Suzuki Vitara Brezza Ldi O,Maruti,2016,"5,80,000","25,000 Kms",Diesel
Maruti Suzuki Eeco 5 Str With Ac Htr,Maruti,2015,"2,78,000","39,000 Kms",Petrol
Toyota Innova 2.0 V,Toyota,2009,Ask For Price,"15,574 Kms",Diesel
Hyundai Creta 1.6 Sx Plus Petrol At,Hyundai,2016,"10,00,000","8,000 Kms",Petrol
Mahindra Scorpio Vlx Bsiv,Mahindra,2013,"6,90,000","75,000 Kms",Diesel
Maruti Suzuki Ertiga Vdi,Maruti,2012,"4,80,000","51,000 Kms",Diesel
Mitsubishi Lancer 1.8 Lxi,Mitsubishi,2006,"85,000","50,000 Kms",Petrol
Maruti Suzuki Maruti 800 Ac,Maruti,2001,"40,000","75,000 Kms",Petrol
Maruti Suzuki Alto 800 Lxi Cng O,Maruti,2015,"90,000","55,800 Kms",Petrol
Hyundai Grand I10 Magna 1.2 Kappa Vtvt,Hyundai,2015,"3,40,000","53,000 Kms",Petrol
Hyundai Eon D Lite Plus,Hyundai,2018,"2,60,000","25,000 Kms",Petrol
Ford Fiesta Sxi 1.6 Abs,Ford,2009,"2,50,000","56,400 Kms",Petrol
Maruti Suzuki Ritz Vdi,Maruti,2010,"1,80,000","72,160 Kms",Diesel
Hyundai Verna Fluidic New,Hyundai,2012,"3,50,000","10,000 Kms",Diesel
Maruti Suzuki Wagon R Lxi Bs Iii,Maruti,2006,"90,001","48,000 Kms",Petrol
Maruti Suzuki Estilo Lx Bs Iv,Maruti,2007,"1,15,000","36,000 Kms",Petrol
Audi A6 2.0 Tdi Premium,Audi,2012,"15,99,000","11,500 Kms",Diesel
Maruti Suzuki Wagon R Lxi Bs Iii,Maruti,2003,"1,30,000","1,33,000 Kms",Petrol
Maruti Suzuki Wagon R,Maruti,2009,"1,59,000","27,000 Kms",Petrol
Maruti Suzuki Wagon R,Maruti,2009,"1,60,000","35,000 Kms",Petrol
Maruti Suzuki Alto,Maruti,2010,"1,10,000","55,000 Kms",Petrol
Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,"4,25,000","40,000 Kms",Petrol
Hyundai Verna 1.6 Sx Vtvt At,Hyundai,2019,"9,00,000","2,000 Kms",Petrol
Maruti Suzuki Swift Glam,Maruti,2009,"1,50,000","45,000 Kms",Petrol
Hyundai Getz Prime 1.3 Gvs,Hyundai,2009,"1,10,000","20,000 Kms",Petrol
Hyundai Santro,Hyundai,2000,"51,999","88,000 Kms",Petrol
Hyundai Getz Prime 1.3 Glx,Hyundai,2009,"1,15,000","20,000 Kms",Petrol
Chevrolet Beat Ps Diesel,Chevrolet,2012,"2,15,000","65,422 Kms",Diesel
Ford Ecosport Trend 1.5 Ti Vct,Ford,2017,"5,80,000","10,000 Kms",Petrol
Maruti Suzuki Dzire Zxi,Maruti,2013,"3,80,000","35,000 Kms",Petrol
Hyundai Fluidic Verna 1.6 Crdi Sx,Hyundai,2013,"3,50,000","1,17,000 Kms",Diesel
Tata Indica V2 Dlg,Tata,2005,"35,000","1,50,000 Kms",Diesel
Bmw X1 Xdrive20D Xline,Bmw,2011,"11,50,000","72,000 Kms",Diesel
Hyundai I20 Asta 1.2,Hyundai,2010,"3,00,000","10,750 Kms",Petrol
Honda City 1.5 V At,Honda,2009,"2,69,000","55,000 Kms",Petrol
Tata Nano,Tata,2013,"60,000","6,800 Kms",Petrol
Chevrolet Cruze Ltz At,Chevrolet,2014,"4,00,000","41,000 Kms",Diesel
Hyundai Verna Fluidic New,Hyundai,2015,"4,30,000","73,000 Kms",Diesel
Hyun,Hyundai,Eon,Ask For Price,"45,000 Kms",Petrol
Maruti Suzuki Swift Dzire Vdi,Maruti,2011,"1,40,000","65,000 Kms",Diesel
Mahindra Xuv500 W6,Mahindra,2014,"85,00,003","45,000 Kms",Diesel
Mahindra Xuv500 W10,Mahindra,2018,"12,99,000","40,000 Kms",Diesel
Maruti Suzuki Alto K10 Lxi Cng,Maruti,2014,"1,99,000","37,000 Kms",Petrol
Hyundai Accent Gle,Hyundai,2006,"90,000","55,000 Kms",Petrol
Force Motors One Suv,Force,2013,"5,50,000","1,40,000 Kms",Diesel
Datsun Go Plus T O,Datsun,2016,Ask For Price,5 Kms,Petrol
Maruti Suzuki Alto,Maruti,2019,"2,65,000","9,800 Kms",Petrol
Chevrolet Spark 1.0 Lt,Chevrolet,2011,"1,00,000","27,000 Kms",Petrol
Hyundai I10,Hyundai,2009,"2,15,000","27,000 Kms",Petrol
Toyota Etios Liva Gd,Toyota,2012,"3,80,000","20,000 Kms",Diesel
Renault Duster 85Ps Diesel Rxl Optional With Nav,Renault,2013,"4,01,919","57,923 Kms",Diesel
Chevrolet Enjoy,Chevrolet,2014,"4,90,000","30,201 Kms",Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,80,000","6,200 Kms",Petrol
Bmw 5 Series 530I,Bmw,2009,"6,50,000","37,518 Kms",Petrol
Toyota Etios Liva G,Toyota,2014,"1,60,000","24,652 Kms",Petrol
Mahindra Jeep Mm 550 Xdb,Mahindra,2004,"4,24,000",383 Kms,Diesel
Chevrolet Beat Ls Diesel,Chevrolet,2016,"2,25,000","95,000 Kms",Diesel
Chevrolet Cruze Ltz,Chevrolet,2011,"3,50,000","35,000 Kms",Diesel
Jeep Wrangler Unlimited 4X4 Diesel,Jeep,2015,"9,50,000","3,528 Kms",Diesel
Maruti Suzuki Ertiga Vdi,Maruti,2013,"4,85,000","52,500 Kms",Diesel
Hyundai Verna Vgt Crdi Sx Abs,Hyundai,2010,"2,05,000","47,900 Kms",Diesel
Maruti Suzuki Omni,Maruti,2012,"1,60,000","14,000 Kms",Petrol
Maruti Suzuki Celerio Vdi,Maruti,2018,"3,10,000","37,000 Kms",Petrol
Tata Zest Quadrajet 1.3,Tata,2017,"1,80,000","90,000 Kms",Diesel
Mahindra Xuv500 W6,Mahindra,2013,"5,49,900","52,800 Kms",Diesel
Tata Indigo Cs Elx Bs Iv,Tata,2016,"1,50,000","1,04,000 Kms",Diesel
Hyundai I10 Era,Hyundai,2011,"1,75,000","30,000 Kms",Petrol
Tata Indigo Ecs Lx Tdi Bs Iii,Tata,2014,"95,000","1,95,000 Kms",Diesel
Tata Indigo Lx Tdi Bs Iii,Tata,2016,"2,30,000","1,04,000 Kms",Diesel
Tata Indigo Ecs Lx Cr4 Bs Iv,Tata,2016,"2,30,000","1,04,000 Kms",Diesel
Tata Indigo Marina Ls,Tata,2004,"1,80,000","70,000 Kms",Diesel
Commercial Chevrolet Sail Hatchback Ca,Commercial,O...,"2,25,000","45,000 Kms",Petrol
Hyundai Xcent Sx 1.2,Hyundai,2015,"4,00,000","43,000 Kms",Diesel
Hyundai Eon Magna Plus,Hyundai,2013,"1,85,000","23,000 Kms",Petrol
Renault Duster 85 Ps Rxl Diesel,Renault,2015,"3,85,000","51,000 Kms",Diesel
Maruti Suzuki Alto K10 Lxi Cng,Maruti,2009,"90,000","62,000 Kms",Petrol
Tata Nano Lx Special Edition,Tata,2010,"32,000","48,008 Kms",Petrol
Commercial Car Ta,Commercial,Zest,"3,71,500","45,000 Kms",Petrol
Renault Duster 110 Ps Rxz Diesel,Renault,2013,"4,35,000","39,000 Kms",Diesel
Maruti Suzuki Wagon R Ax Bsiv,Maruti,2010,"2,25,000","40,000 Kms",Petrol
Maruti Suzuki Swift,Maruti,2006,"1,89,700","48,247 Kms",Petrol
Maruti Suzuki Ertiga,Maruti,2012,"3,89,700","39,000 Kms",Diesel
Maruti Suzuki Swift Vxi 1.2 Abs Bs Iv,Maruti,2014,"3,65,000","23,000 Kms",Petrol
Maruti Suzuki Alto K10 New,Maruti,2017,"3,60,000","9,400 Kms",Petrol
Hyundai I20 Magna,Hyundai,2010,"2,10,000","50,000 Kms",Petrol
Hyundai I10 Magna 1.2,Hyundai,2009,"1,70,000","75,000 Kms",Petrol
Tata Indica,Tata,Sale,"1,30,000","45,000 Kms",Petrol
Tata Zest Xe 75 Ps Diesel,Tata,2017,"3,80,000","70,000 Kms",Diesel
Mahindra Xylo E8,Mahindra,2009,"2,95,000","64,000 Kms",Diesel
Toyota Corolla Altis Gl Petrol,Toyota,2010,"1,85,000","55,000 Kms",Petrol
Tata Manza Aqua Quadrajet,Tata,2014,"1,60,000","2,00,000 Kms",Diesel
Mahindra Kuv100 K8 D 6 Str,Mahindra,2018,Ask For Price,"7,500 Kms",Diesel
Used Bt New Conditions Ta,Used,Zest,"2,55,000","45,000 Kms",Petrol
Renault Kwid 1.0,Renault,2018,"2,90,000","2,137 Kms",Petrol
Sale Tata,Sale,Ture,"1,00,000","45,000 Kms",Petrol
Tata Venture Ex 8 Str,Tata,2013,"1,00,000","30,000 Kms",Diesel
Maruti Suzuki Swift Dzire Tour Lxi,Maruti,2014,"3,15,000","44,000 Kms",Petrol
Maruti Suzuki Alto Lx Bsii,Maruti,2002,Ask For Price,"56,000 Kms",Petrol
Skoda Octavia Classic 1.9 Tdi Mt,Skoda,2006,"1,14,990","65,000 Kms",Diesel
